"Name","State","batch_size","learning_rate","epoch/accuracy","epoch/f1_m","epoch/learning_rate","epoch/loss","epoch/precision_m","epoch/recall_m","epoch/val_accuracy","epoch/val_f1_m","epoch/val_loss","epoch/val_precision_m","User","Runtime","Notes","epoch/epoch","Sweep","Created","Tags","epoch/val_recall_m"
"sleek-sweep-15","finished","64","0.01","0.22160384058952332","0","0.009999999776482582","1.8017847537994385","0","0","0.22345803678035736","0","1.7991820573806765","0","piodanilod","351","-","29","5nlsrjkh","2023-07-02T13:22:44.000Z","","0"
"wobbly-sweep-14","finished","32","0.001","0.6696180105209351","0.6295444965362549","0.0010000000474974513","1.209359049797058","0.7758278846740723","0.5327175855636597","0.6440849304199219","0.5999912023544312","1.2909854650497437","0.7670557498931885","piodanilod","391","-","29","5nlsrjkh","2023-07-02T13:16:10.000Z","","0.4947163462638855"
"celestial-sweep-13","finished","32","0.001","0.6357197165489197","0.5872994661331177","0.0010000000474974513","1.276613712310791","0.7532421946525574","0.4845825433731079","0.6258847117424011","0.5765282511711121","1.307071089744568","0.7721275687217712","piodanilod","404","-","29","5nlsrjkh","2023-07-02T13:09:25.000Z","","0.46457868814468384"
"noble-sweep-12","finished","64","0.01","0.2276751846075058","0","0.009999999776482582","1.8344851732254028","0","0","0.22345803678035736","0","1.8321399688720703","0","piodanilod","348","-","29","5nlsrjkh","2023-07-02T13:03:36.000Z","","0"
"floral-sweep-11","finished","64","0.001","0.6213002800941467","0.5576157569885254","0.0010000000474974513","1.371969223022461","0.7365233898162842","0.4513300359249115","0.630940318107605","0.5541058778762817","1.387012958526611","0.8077710866928101","piodanilod","403","-","29","5nlsrjkh","2023-07-02T12:56:49.000Z","","0.4227505326271057"
"helpful-sweep-10","finished","32","0.01","0.22590437531471252","0","0.009999999776482582","1.7612519264221191","0","0","0.22345803678035736","0","1.7614020109176636","0","piodanilod","376","-","29","5nlsrjkh","2023-07-02T12:50:30.000Z","","0"
"curious-sweep-9","finished","32","0.01","0.21932709217071533","0","0.009999999776482582","1.760837197303772","0","0","0.19716885685920715","0","1.7597657442092896","0","piodanilod","373","-","29","5nlsrjkh","2023-07-02T12:44:13.000Z","","0"
"worthy-sweep-8","finished","32","0.01","0.22160384058952332","0","0.009999999776482582","1.757734775543213","0","0","0.22345803678035736","0","1.7555259466171265","0","piodanilod","402","-","29","5nlsrjkh","2023-07-02T12:37:29.000Z","","0"
"avid-sweep-7","finished","64","0.001","0.6789779663085938","0.6440598368644714","0.0010000000474974513","1.269432544708252","0.7906742691993713","0.5454091429710388","0.6491405367851257","0.6125345230102539","1.3300477266311646","0.7610703706741333","piodanilod","335","-","29","5nlsrjkh","2023-07-02T12:31:50.000Z","","0.5141769647598267"
"lyric-sweep-6","finished","32","0.001","0.6433088779449463","0.5936516523361206","0.0010000000474974513","1.2450371980667114","0.7551674246788025","0.4927656352519989","0.6279069781303406","0.5365968346595764","1.3135669231414795","0.7847931385040283","piodanilod","402","-","29","5nlsrjkh","2023-07-02T12:25:03.000Z","","0.4109427332878113"
"mild-sweep-5","finished","64","0.01","0.21755628287792209","0","0.009999999776482582","1.8606712818145752","0","0","0.22345803678035736","0","1.8564430475234983","0","piodanilod","342","-","29","5nlsrjkh","2023-07-02T12:19:19.000Z","","0"
"leafy-sweep-4","finished","64","0.001","0.6314191818237305","0.5840100049972534","0.0010000000474974513","1.357824683189392","0.7387068271636963","0.4850230515003204","0.656218409538269","0.5762252807617188","1.3452906608581543","0.8105876445770264","piodanilod","341","-","29","5nlsrjkh","2023-07-02T12:13:35.000Z","","0.4483432173728943"
"royal-sweep-3","finished","64","0.0001","0.4351125657558441","0.26476162672042847","0.00009999999747378752","2.034742593765259","0.6581384539604187","0.1676061600446701","0.4752275049686432","0.26135993003845215","1.9141868352890017","0.8052489161491394","piodanilod","325","-","29","5nlsrjkh","2023-07-02T12:08:04.000Z","","0.15746228396892548"
"stoic-sweep-2","finished","128","0.0001","0.4166455864906311","0.255361407995224","0.00009999999747378752","2.072899341583252","0.6358100771903992","0.1602465659379959","0.4853387176990509","0.21034325659275055","1.9874504804611208","0.8825427293777466","piodanilod","338","-","29","5nlsrjkh","2023-07-02T12:02:22.000Z","","0.11988617479801178"
"whole-sweep-1","finished","32","0.0001","0.46976980566978455","0.31746283173561096","0.00009999999747378752","1.9156638383865356","0.6732848882675171","0.21098196506500244","0.5318503379821777","0.28110963106155396","1.82899808883667","0.8930235505104065","piodanilod","343","-","29","5nlsrjkh","2023-07-02T11:56:35.000Z","","0.16987624764442444"
"efficient-sweep-5","finished","32","0.001","0.6511510014533997","0.6050993800163269","0.0010000000474974513","1.2697649002075195","0.7646604776382446","0.5043287873268127","0.6268958449363708","0.5445952415466309","1.3295353651046753","0.7857469320297241","piodanilod","465","-","24","6sy716oq","2023-07-02T09:40:42.000Z","","0.4201195538043976"
"good-sweep-4","finished","64","0.001","0.6385024189949036","0.5886765122413635","0.0010000000474974513","1.3727558851242063","0.7590945363044739","0.4831251800060272","0.6006066799163818","0.5478990077972412","1.4305704832077026","0.7708064913749695","piodanilod","467","-","24","6sy716oq","2023-07-02T09:32:50.000Z","","0.4270608723163605"
"avid-sweep-3","finished","32","0.0001","0.46976980566978455","0.32339414954185486","0.00009999999747378752","1.894708037376404","0.6736946105957031","0.21692658960819244","0.5187057852745056","0.2665490210056305","1.808743596076965","0.8959549069404602","piodanilod","464","-","24","6sy716oq","2023-07-02T09:25:03.000Z","","0.15889182686805725"
"fresh-sweep-2","finished","32","0.001","0.5977738499641418","0.5405329465866089","0.0010000000474974513","1.4218244552612305","0.7425320744514465","0.4281605780124664","0.5935288071632385","0.5204307436943054","1.4350881576538086","0.7830902934074402","piodanilod","461","-","24","6sy716oq","2023-07-02T09:17:21.000Z","","0.39491793513298035"
"revived-sweep-1","finished","128","0.1","0.22261573374271393","0","0.10000000149011612","25.18947982788086","0","0","0.19716885685920715","0","25.08977699279785","0","piodanilod","399","-","24","6sy716oq","2023-07-02T09:10:40.000Z","","0"
